,train_loss,train_acc,val_loss,val_acc
0,0.018571873180071512,0.2699777777777778,0.015356344532966614,0.3338
1,0.01385600840250651,0.36460000000000004,0.013845545506477356,0.3636
2,0.012418866186671786,0.4301777777777778,0.01258684332370758,0.4362
3,0.011289758653110929,0.48102222222222224,0.011300281715393067,0.4754
4,0.01054230813715193,0.5122444444444445,0.011060435104370117,0.5066
5,0.0099736787809266,0.5367111111111111,0.010324100315570831,0.5364
6,0.00951273578008016,0.5614222222222223,0.009914807558059692,0.5628
7,0.009092103694544898,0.5826888888888889,0.009877465748786927,0.5502
8,0.008827730098035601,0.5926,0.00972459841966629,0.563
9,0.008472887301445008,0.6111333333333334,0.009053189599514008,0.6034
10,0.008212749163309734,0.6208666666666667,0.009047173988819122,0.6044
11,0.007858837721082899,0.6384000000000001,0.00864477345943451,0.615
12,0.007681954220930735,0.6488444444444444,0.00820508303642273,0.6368
13,0.007512279824415843,0.6565111111111112,0.00831002002954483,0.6232
14,0.007241370764043596,0.6693777777777778,0.008393856680393219,0.6266
15,0.0070834162420696685,0.6753333333333333,0.008140841269493103,0.6342
16,0.006922306807835897,0.6843111111111111,0.008137425255775451,0.6452
17,0.006791470976670583,0.6884444444444445,0.007985026895999909,0.649
18,0.00664227274523841,0.6968222222222222,0.00745391149520874,0.6732
19,0.006570840658081902,0.7003777777777778,0.007766836297512054,0.6586
