,train_loss,train_acc,val_loss,val_acc
0,0.06088984957271152,0.2933555555555556,0.053639045691490174,0.382
1,0.04964807456201977,0.42473333333333335,0.04799815051555634,0.4498
2,0.04568174797428979,0.4699777777777778,0.045128685951232914,0.4858
3,0.043383171999454496,0.49871111111111116,0.043405589461326596,0.5102
4,0.04184721958107419,0.5179555555555556,0.0418419095993042,0.5288
5,0.04076809545490477,0.5324222222222222,0.04199414722919464,0.5244
6,0.03983584237098694,0.5418222222222222,0.041155871427059176,0.5292
7,0.03901389491160711,0.5499777777777778,0.04023723510503769,0.5374
8,0.038416585592428845,0.5576444444444445,0.03978778240680694,0.5478
9,0.03778795297410753,0.5670888888888889,0.038840581834316254,0.564
10,0.037210649032062955,0.5733111111111111,0.03870523971319199,0.566
11,0.03680106351243125,0.5776,0.03837259516716003,0.5674
12,0.03621398405631383,0.5865111111111111,0.03761175529956818,0.5724
13,0.035646640612019435,0.5901555555555555,0.03788687195777893,0.5696
14,0.035335888783137,0.5960444444444445,0.03801448383331299,0.5712
15,0.03485779790878296,0.6017555555555556,0.03753032171726227,0.5772
16,0.03446506195730633,0.6076,0.0376473620891571,0.5714
17,0.03398870569202635,0.6114,0.03723362885713577,0.5814
18,0.03353683932357364,0.6143333333333334,0.036415021276474,0.5926
19,0.03328989899555842,0.6210222222222223,0.03552148489952087,0.5934
