,train_loss,train_acc,val_loss,val_acc
0,0.015808980867597792,0.2677333333333333,0.014500118041038514,0.3514
1,0.012670783109135098,0.41900000000000004,0.012328071331977844,0.4444
2,0.011452576854493883,0.4690444444444445,0.011232495713233948,0.4902
3,0.010710360617107815,0.5034444444444445,0.010946750783920288,0.5102
4,0.010266040669547187,0.5252444444444445,0.010389287567138672,0.536
5,0.009958136044608223,0.5431777777777778,0.010062437677383422,0.543
6,0.009622712279690637,0.5608000000000001,0.009953088355064392,0.5586
7,0.009353724214765761,0.5700444444444445,0.00975373673439026,0.5706
8,0.009124771479765575,0.5805333333333333,0.009776288819313049,0.5616
9,0.008916875622007582,0.5920000000000001,0.009437909007072448,0.5764
10,0.008735303676128387,0.6019555555555556,0.009398557424545288,0.581
11,0.008582274675369263,0.6084666666666667,0.009445300006866456,0.5774
12,0.008432191554705301,0.6133111111111111,0.009291346526145935,0.5922
13,0.008283637736903297,0.6190888888888889,0.009286765003204345,0.5858
14,0.008152765050199297,0.6280888888888889,0.00906611340045929,0.5984
15,0.007991950315899318,0.6342222222222222,0.008874973928928375,0.5976
16,0.007916001521216498,0.6363555555555556,0.008657484650611877,0.6032
17,0.00776659005218082,0.6449555555555556,0.008941214430332184,0.6034
18,0.007660778586069743,0.6512444444444445,0.008710368567705155,0.608
19,0.007578854031032986,0.6541555555555556,0.00866328672170639,0.615
